,Symbol,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
62,TREC,Quarles Patrick D.,President and CEO,"Apr 23, 2020",$5.41,5092,27548,213159,"Apr 23, 2020, 04:23 PM",buy
63,LQDT,Angrick William P III,Chairman of the Board and CEO,"Apr 21, 2020",$4.74,700,3318,4552571,"Apr 23, 2020, 04:18 PM",buy
64,MCHX,Roswech John,Chief Revenue Officer,"Apr 22, 2020",$1.36,2500,3396,290000,"Apr 23, 2020, 04:08 PM",buy
65,DRI,Broad Matthew R,SVP General Counsel,"Apr 23, 2020",$58.50,427,24980,8611,"Apr 23, 2020, 04:03 PM",buy
66,DRI,King Sarah H.,"SVP, Chief HR Officer","Apr 23, 2020",$58.50,1025,59963,5027,"Apr 23, 2020, 04:03 PM",buy
67,DRI,ATKINS M SHAN,Director,"Apr 23, 2020",$58.50,1282,74997,3114,"Apr 23, 2020, 04:03 PM",buy
68,DRI,Renninger Richard L.,"SVP, Chief Development Officer","Apr 23, 2020",$58.50,2000,117000,5653,"Apr 23, 2020, 04:03 PM",buy
69,DRI,Burrowes Todd,"President, LongHorn Steakhouse","Apr 23, 2020",$58.50,2564,149994,25216,"Apr 23, 2020, 04:02 PM",buy
70,DRI,Cardenas Ricardo,SVP Chief Financial Officer,"Apr 23, 2020",$58.50,2991,174974,22432,"Apr 23, 2020, 04:01 PM",buy
71,DRI,JAMISON CYNTHIA T,Director,"Apr 23, 2020",$58.50,3418,199953,3838,"Apr 23, 2020, 04:00 PM",buy
72,VOXX,Kahli Beat,10% Owner,"Apr 22, 2020",$4.90,46660,228551,2911963,"Apr 23, 2020, 04:00 PM",buy
73,VOXX,Kahli Beat,10% Owner,"Apr 21, 2020",$4.69,98340,461615,2865303,"Apr 23, 2020, 04:00 PM",buy
74,MMLP,MARTIN RUBEN S,President and CEO,"Apr 21, 2020",$1.16,7684,8927,442587,"Apr 23, 2020, 03:59 PM",buy
75,DRI,GEORGE DAVID C,EVP & COO,"Apr 23, 2020",$58.50,4273,249971,64928,"Apr 23, 2020, 03:59 PM",buy
76,MMLP,Shoup Scot A,Senior VP Operations,"Apr 21, 2020",$1.16,3111,3614,15037,"Apr 23, 2020, 03:59 PM",buy
77,DRI,FOGARTY JAMES P,Director,"Apr 23, 2020",$58.50,4273,249971,17629,"Apr 23, 2020, 03:59 PM",buy
78,DRI,SONSTEBY CHARLES M,Director,"Apr 23, 2020",$58.50,12820,749970,22242,"Apr 23, 2020, 03:59 PM",buy
79,MMLP,BONDURANT ROBERT D,Executive VP and CFO,"Apr 21, 2020",$1.16,5018,5830,99864,"Apr 23, 2020, 03:59 PM",buy
80,DRI,WILMOTT TIMOTHY J,Director,"Apr 23, 2020",$58.50,17094,999999,17094,"Apr 23, 2020, 03:57 PM",buy
81,DRI,LEE EUGENE I JR,President and CEO,"Apr 23, 2020",$58.50,25641,1499999,177264,"Apr 23, 2020, 03:57 PM",buy
82,UNTY,BRODY MARK S,Director,"Apr 22, 2020",$11.74,295,3463,82674,"Apr 23, 2020, 03:42 PM",buy
83,AXDX,SCHULER JACK W,Director,"Apr 21, 2020",$9.01,79650,717647,14440935,"Apr 23, 2020, 03:36 PM",buy
84,OBLG,ADELMAN JASON T,Director,"Apr 22, 2020",$0.90,20000,18080,496000,"Apr 23, 2020, 03:08 PM",buy
85,HAL,GERBER MURRY,Director,"Apr 23, 2020",$8.68,350000,3038000,574879,"Apr 23, 2020, 02:26 PM",buy
86,MYOV,"Sumitomo Chemical Co., Ltd.",10% Owner,"Apr 22, 2020",$11.93,50000,596730,47779104,"Apr 23, 2020, 02:21 PM",buy
87,MYOV,"Sumitomo Chemical Co., Ltd.",10% Owner,"Apr 21, 2020",$11.58,50200,581140,47729104,"Apr 23, 2020, 02:21 PM",buy
88,OTIVF,Anderson William Carl III,Director,"Apr 22, 2020",$0.20,960000,192000,2060000,"Apr 23, 2020, 02:06 PM",buy
89,PNFP,THOMPSON G KENNEDY,Director,"Apr 23, 2020",$34.86,5000,174300,19826,"Apr 23, 2020, 01:52 PM",buy
90,RGT,CLARK CHRISTOPHER D,President,"Apr 23, 2020",$9.25,5000,46250,44743,"Apr 23, 2020, 01:31 PM",buy
91,VOLT,Naujokas Leonard Frank,Controller & CAO,"Apr 23, 2020",$0.84,5952,5000,10151,"Apr 23, 2020, 01:29 PM",buy
92,MCB,Perri Gerard A,EVP and COO,"Apr 23, 2020",$22.48,500,11240,7502,"Apr 23, 2020, 01:28 PM",buy
93,RVP,SHAW THOMAS J,President and CEO,"Apr 22, 2020",$3.01,400,1204,14552706,"Apr 23, 2020, 12:48 PM",buy
94,VOLT,Avedissian Nancy T,SVP/Chief Legal Ofcer/CorpSec,"Apr 23, 2020",$0.80,5000,4000,41715,"Apr 23, 2020, 12:32 PM",buy
95,TIPT,Barnes Michael Gene,Executive Chairman,"Apr 22, 2020",$5.25,2771,14548,8260238,"Apr 23, 2020, 09:48 AM",buy
